entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:ForecastDemand-531	531	forecast demand	forecast demand	Service	Conceptual	determine protocols for forcasting demand		Business Service	Service Provider				
entity:ForecastEquipmentLife-532	532	forecast equipment life	forecast equipment life	Service	Conceptual	using the information gathered in monitor equipment determine the remaining life of electrical components installed in the grid		Business Service	Transmission				
entity:ForecastEquipmentLoading-533	533	forecast equipment loading	forecast equipment loading	Service	Conceptual	maintain equipment specific future load profiles		Business Service	Transmission				
entity:ForecastIntermittentGeneration-534	534	forecast intermittent generation	forecast intermittent generation	Service	Conceptual	provide intermittent generation forecasts for various timescales as needed for grid management		Business Service	Market				
entity:ForecastResources-535	535	forecast resources	forecast resources	Service	Conceptual	provide forecasts of system resources		Business Service	Operations				
entity:ForecastWeatherImpacts-536	536	Forecast weather impacts	Forecast weather impacts	Service	Conceptual	Forecast the potential impact of weather events on the grid assets		Business Service	Operations				
entity:ForecastingSupportService-537	537	Forecasting support service	Forecasting support service	Service	Conceptual	Provide support services for forecasting analytics in the market area		Automation Service	Market				
entity:ForecastingSupportService-538	538	forecasting support service	forecasting support service	Service	Conceptual	Provide support services for short term forecasting		Automation Service	Market				
entity:FrequencyDetection-539	539	Frequency detection	Frequency detection	Service	Conceptual	Monitor frequency across system		Automation Service	Transmission				
entity:FrequencyDetection-540	540	Frequency detection	Frequency detection	Service	Conceptual	Monitor energy frequency across system		Automation Service	Operations				
entity:FrequencyManagementSupport-541	541	Frequency management support	Frequency management support	Service	Conceptual	Provides a mechanism to manage the overall grid frequency within established limits		Automation Service	Operations				
entity:FuelCell-542	542	Fuel cell	Fuel cell										
entity:FunctionsObjectsOrDataClassifiedAsActorsInReferencesWhichMayNotBeActors-543	543	Functions, objects or data  classified as Actors in references which may not be Actors	Functions, objects or data  classified as Actors in references which may not be Actors										
entity:GasMeter-544	544	Gas Meter	Gas Meter	Actor	Logical	A device that is either used for revenue grade at the pPoint of sSale measuring or facility grade device used for the transfer of gas, product and measuring usage and possibly control from one domain/system to another	NR: Water/Gas Metering	Device	Cross Cutting	Field Monitoring			
entity:GasTurbine-545	545	Gas turbine	Gas turbine										
entity:Gateway-546	546	Gateway	Gateway	Service	Conceptual	The function of translating two or more dissimilar protocols.  This role is often fufilled by a communications device (such as a router) used to send messages to devices and sub-systems in a building or structure or from one network domain to another.	RM: Facility EMS/Gateway, CM: Building Gateway	Application	Customer				function/ service
entity:Generation-547	547	Generation	Generation	Role	Conceptual	Conventional or renewable generation connected to the transmission grid (69kV and up).  Is 69kV really a requirement?  This should include all generation types DER and bulk.  Creating electricity.	IE: Grid Scale Energy Resource (Section 6)/Bulk generatioon (Section 7); CM: Building Automation (System) Gateway	Facility	Generation		role	producer	
entity:GenerationAssetManagement-548	548	Generation Asset Management	Generation Asset Management	Service	Logical	Performed by roles to determine equipment maintenance schedules, calculate the life expectancy of the device. They also record equipment operations and maintenance history for future operational and engineering decisions.		Application	Generation				
entity:GenerationForecasting-549	549	Generation forecasting	Generation forecasting	Service	Conceptual	Provide a mechanism to forecast capacity of grid connected resources based on estabilished parameters		Automation Service	Operations				
entity:GenerationMeasure-550	550	Generation Measure	Generation Measure	Role	Conceptual	Performed by roles that provide visibility into the flow of power and the condition of the systems in the field. In the future measurement might be found in built into meters, transformers, feeders, switches and other devices in the grid.		Application	Generation	Process			
entity:GenerationOperation-Control-551	551	Generation Operation/Control	Generation Operation/Control	Service	Conceptual	Performed by roles that permit Operations to manage generation assets in maintaining the flow of power and reliability of the system. Generation dispatch is based upon reliablity with economic dispatch.	CM: Generation.Control	Application	Generation				
entity:GenerationProtection-552	552	Generation Protection	Generation Protection	Service	Conceptual	Performed by roles that react rapidly to faults and other events in the system that might cause power outages, brownouts, or the destruction of equipment. Performed to maintain high levels of reliability and power quality. May work locally or on a wide scale.		Application	Generation				
entity:GenerationRecord-553	553	Generation Record	Generation Record	Role	Conceptual	Performed by actors that permit other domains to review what has happened on the grid for financial, engineering, operational, and forecasting purposes.		Application	Generation				
entity:GenerationScheduler-554	554	Generation scheduler	Generation scheduler	Service	Conceptual	Provide a mechanism to support the scheduling of generation based on agreed parameters		Automation Service	Operations				
entity:GenerationStabilizeAndOptimize-555	555	Generation Stabilize and Optimize	Generation Stabilize and Optimize	Service	Logical	Performed by roles that ensure the network is operating with the appropriate tolerances across the system. They may gather information to make control decisions that ensure reliable and proper operations (stability) or more efficient operations (optimization). Measurement and control form a feedback loop that allows grid operators to stabilize the flow of energy across the electric network or safely increase the load on a transmission path.		Application	Generation				
entity:GenerationSubstation-556	556	Generation Substation	Generation Substation	Actor	Logical	Centralized facility that steps-up voltage to transmission level. Usually located adjacent to the generation faciltiy.		Facility	Generation				
entity:Generator-557	557	Generator	Generator	Role		Generating electricity, contributing actively to voltage and reactive power control, required to provide the relevant data (information on outages, forecast, actual production) to the energy marketplace (see also the Articles 2.1 and 2.2 of the Directive).							
entity:Generator-558	558	Generator	Generator	Role		Generating electricity, contributing actively to voltage and reactive power control, required to provide the relevant data (information on outages, forecast, actual production) to the energy marketplace (see also the Articles 2.1 and 2.2 of the Directive).							
entity:Generator-559	559	Generator	Generator	Role		Generating electricity, contributing actively to voltage and reactive power control, required to provide the relevant data (information on outages, forecast, actual production) to the energy marketplace (see also the Articles 2.1 and 2.2 of the Directive).							
entity:GeographicInformationSystem-560	560	Geographic Information System	Geographic Information System	Service	Logical	GIS formerly known as Automated Mapping/Facilities Management (AM/FM) contains the geographical information of the distribution power system circuit connectivity, as well as the parameters describing the power system facilities. Conceptually, the GIS' repository contains the  transmission connectivity, ownerships and relevant customer-premises data. Repository of distribution system assets, their relationships (connectivity), ownerships, and activities.		Application	Operations				
entity:GeographicInformationSystem-561	561	Geographic Information System	Geographic Information System	System		Geographic Information System is a system designed to capture, store, manipulate, analyze, manage, and present all types of geographical data. In the simplest terms, GIS is the merging of cartography, statistical analysis, and database technology.							
entity:GeographicInformationSystem-GIS--562	562	Geographic Information System (GIS)	Geographic Information System (GIS)			Geographic model of the distribution system, including the location and characteristics of all distribution equipment and DER systems (individually and/or in aggregate)							
entity:GeographicalInventory-AMGINV--563	563	Geographical inventory(AMGINV)	Geographical inventory(AMGINV)	Application		Management of geospatial data, typically by utilizing computer graphics technology to enter, store, and update graphic and non-graphic information. Geographic depictions and related non-graphic data elements for each entity are typically stored in some form of a data store. The graphic representations are referenced using a coordinate system that relates to locations on the surface of the earth. Information in the data store can be queried and displayed based upon either the graphic or non-graphic attributes of the entities.							
entity:GISOperator-564	564	GIS Operator	GIS Operator	Actor	Logical	Operator of the Geographic Information System		Organizational Entity	Operations				
entity:GISServices-565	565	GIS Services	GIS Services	ServiceComposition		Operation of the Geographical Information System							
entity:GreenHouseGasSupportServices-566	566	Green House Gas support services	Green House Gas support services	Service	Conceptual	Provides support for the creation of products that support the management of green house gases		Automation Service	Market				
entity:Grid-567	567	Grid	Grid	System		Bulk power systems including power generation, transmission, and MV distribution							
entity:Grid-568	568	Grid	Grid	System		Power Distribution system							
entity:Grid-569	569	Grid	Grid	System		-							
entity:Grid-570	570	Grid	Grid	System		-							
entity:GridAccessProvider-571	571	Grid Access Provider	Grid Access Provider	Role	Conceptual	A party responsible for providing access to the grid through a local metering point and its use for energy consumption or production to the party connected to the grid.		Organizational Entity	Operations				
entity:GridAccessProvider-572	572	Grid Access Provider	Grid Access Provider	Role		A party responsible for providing access to the grid through a local metering point and its use for energy consumption or production to the party connected to the grid.							
entity:GridCommunicationsNetworkProviders-573	573	Grid Communications Network Providers	Grid Communications Network Providers	Service	Conceptual	They plan, build and maintain the communications systems that enable the data communication required to maintain grid stability, load balancing and fault protection systems. They also ensure compliance with the agreed service levels (Service Level Agreements including quality of service, data security and privacy) and compliance with any national and/or international regulations as necessary.		Organization	Operations				
entity:GridCommunicationsNetworkProviders-574	574	Grid communications network providers	Grid communications network providers	Role		Plan, build and maintain the communications systems that enable the data communication required to maintain grid stability, load balancing and fault protection systems by a TSO or DSO. This function is mostly executed by the TSO or the DSO, or may be performed by an independent actor but the overall responsibility and ownership of information remains with TSO and DSO.4 Grid communications network provider ensures compliance with the agreed service levels (Service Level Agreements including quality of service, data security and privacy) and compliance with any national and/or international regulations as necessary;							
entity:GridConditionIndicator-575	575	Grid Condition Indicator	Grid Condition Indicator	Service	Conceptual	Provide a location-based dynamic metric that illustrates the desired change in energy consumption.		Business Service	Market				
entity:GridConditionIndicator-576	576	Grid Condition Indicator	Grid Condition Indicator	Service	Conceptual	Provides a geographic specific indicator of the grid condition		Business Service	Operations				
entity:GridHealthSupport-577	577	Grid Health Support	Grid Health Support	Service	Conceptual	Provide a mechanism to maintain the health of the grid to resist outages		Automation Service	Operations				
entity:GridMonitoring-578	578	Grid Monitoring	Grid Monitoring	Generic Role									
entity:GridOperations-579	579	Grid Operations	Grid Operations	Service	Conceptual	Grid operations manage and controls all utility assets, services and processes in "real-time" for the distribution of electricity (and gas and water) to and from customers and may serve customers who do not choose direct access.	RM: Distribution Management; IE: Distribution Operation and Control	Organization	Operations				
entity:GridOperationsCoreNetwork-580	580	Grid Operations Core Network	Grid Operations Core Network	Role	Logical	Local Area Networtk (LAN) infrastructure concentrating all operational networks. This includes grid operations management and control communications (eg: Field Area Networks (FANs), Substation Area Networks), as well as external party interfaces (eg: Market, Service Providers)	IE: Utility Control/Operations/Enterprise LAN	Facility	Operations				
entity:GridOperationsSupport-581	581	Grid Operations Support	Grid Operations Support	Service	Conceptual	Provides a mechanism to support overall operations of the grid		Automation Service	Operations				
entity:GridOperator-582	582	Grid Operator	Grid Operator	Role		A party that operates one or more grids.							
entity:GroupManagement-583	583	Group Management	Group Management	Service	Conceptual	A service that manages entity groupings		Automation Service	Customer				
entity:HeadEndSystem-HES--584	584	Head End System (HES)	Head End System (HES)	System		Central Data System collecting data via the AMI of various meters in its service area. It communicates via a WAN directly to the meters and/or to the NNAP of LNAP.							
entity:HES-585	585	HES	HES	-		Responsible for acquiring the reads from meters and/or from data concentrators Delivers the raw meter reads to MDM Repeats the reading for any missing reads Is the short-term interim data storage (1-3 months) for meter reads Pushes the event information upwards to MDM Supports the specific protocols of the concentrators and meters Contains some topology information and aggregation functionality for plug &br/>play solutions 							
entity:HESServices-A--586	586	HES Services (A)	HES Services (A)	generic role		External actor interacting with the system functions and components via the HES Head End System (Metering)							
entity:HealthMonitoring-587	587	Health Monitoring	Health Monitoring	Service	Conceptual	Provide a mechansim to check device health		Business Service	Customer				
entity:HomeApplianceVendors-588	588	Home Appliance vendors	Home Appliance vendors	Role	Conceptual	Home appliance manufacturers. Of special interest for Smart Grid is the inclusion of intelligent communicating appliances which can participate in Demand/Response situations and be monitored/controlled remotely		Organization	Customer	Enterprise			
entity:HomeAutomationEndDevice-589	589	Home automation end device	Home automation end device	System		Device providing additional functionalities enabling consumers to interact with their own environment.							
entity:HomeAutomationServices-D--590	590	Home Automation Services (D)	Home Automation Services (D)	generic role		External actor interacting directly with the home automation end device.							
entity:HomeCustomer-591	591	Home customer	Home customer	Role		A residential consumer of electricity (including also agriculture users) may also be involved in contract-based Demand/Response.							
entity:HomeManagement-592	592	Home Management	Home Management	Service	Logical	Service that monitors and controls home energy and potentially responds to signals while minimizing impact on home occupants.		Application	Service Provider				
entity:HumanResources-593	593	Human Resources	Human Resources	Role	Conceptual	Human Resources (HR) roles manage personnel information and activities including safety, training, benefits, performance, review, compensation, recruiting, sceduling, training/employee job-ratings and expenses. HR also determines overtime scheduling and job qualifications for specifc tasks.		Organizational Entity	Operations				
entity:HumanResources-HR--594	594	Human Resources (HR)	Human Resources (HR)	Application		Resources (HR) actors manage personnel information and activities including safety, training, benefits, performance, review, compensation, recruiting, scheduling, training/employee job-ratings and expenses. HR also determines overtime scheduling and job qualifications for specific tasks.							
entity:HydroFacility-595	595	Hydro Facility	Hydro Facility	Actor	Logical	Superclass hydro		Facility	Generation	Process			
entity:HydroPlant-596	596	Hydro plant	Hydro plant										
entity:IdentifyGeographicAreaForFieldWorkOrder-597	597	Identify geographic area for field work order	Identify geographic area for field work order	Service	Conceptual	This service identifies the  field work order geographic information for distribution to the appropriate field resource.		Automation Service	Distribution				
entity:ImbalanceSettlementResponsible-598	598	Imbalance Settlement Responsible	Imbalance Settlement Responsible	Role	Conceptual	A party that is responsible for settlement of the difference between the contracted quantities and the realised quantities of energy products for the balance responsible parties in a market balance area.		Organization	Market				
entity:ImbalanceSettlementResponsible-599	599	Imbalance Settlement Responsible	Imbalance Settlement Responsible	Role		A party that is responsible for settlement of the difference between the contracted quantities and the realised quantities of energy products for the balance responsible parties in a market balance area.							
entity:ImplicitControlResponse-600	600	Implicit Control Response	Implicit Control Response	Service	Conceptual	A service that responds to energy data		Automation Service	Customer				
entity:InHomeDisplay-601	601	In Home Display	In Home Display	Service	Logical	An In-Home Display (for Homes) or facilities console for other customers (e.g. commercial buildings, industrial facilities, or vehicles) displaying usage, cost and other information to customers. Could be implemented as a device, web portal, or through another mechanism	RM: Display; NR: Customer Premise Display; E: Intelligent HMI Energy Device	Device ?	Customer				
entity:IndependentSystemOperator-602	602	Independent System Operator	Independent System Operator	Role	Conceptual	Independent System Operator (ISO): An independent entity that monitors/controls a power gridover a limited geographic area (typically a single to few States). Responsible for generation and transmission coordination of electricity, high-level load management and other signals for distribution companies. Additionally responsible for managing the area's wholesale generation Market on the behalf of Market participants (Generation, Distributed Generation, Service Providers and Aggregators.	RM: ISO/RTO; Independent System Operator/Regional Transmission Organization Wholesale Market	Organization	Operations				
entity:IndustrialAutomation-603	603	Industrial Automation	Industrial Automation	Service	Logical	System which controls devices at a large customer site which potentially could be used to direct building devices to increase/decrease load as needed.		Application	Customer				
entity:IndustrialConsumer-604	604	Industrial consumer	Industrial consumer	Role		A large consumer of electricity in an industrial / manufacturing industry. May be involved in contract based  Demand/Response.							
entity:IndustrialCustomer-605	605	Industrial Customer	Industrial Customer	Role	Conceptual	A large business which receives electricity from the electric distribution system. Typically utilities define industrial customers with usage above a minimum threshold.	EU: Transportation Customer	Organization	Customer				
entity:IndustrialGateway-606	606	Industrial Gateway	Industrial Gateway	Actor	Physical	Communications device which could be used to send messages to devices and systems at a large industrial customer site.		Device	Customer				
entity:Information-CommunicationTechnology-ICT-ServiceProviders-Vendors-607	607	Information & Communication Technology (ICT) service providers/Vendors	Information & Communication Technology (ICT) service providers/Vendors	Role	Conceptual	Computer Systems, intelligent field equipment,  communications equipment and software providers necessary to support grid operations		Organization	Operations				
entity:InformationPresentation-608	608	Information Presentation	Information Presentation	Service	Conceptual	Provide a mechanism to display information from the system.		Business Service	Customer				
entity:InformationSecurityManagement-609	609	Information Security Management	Information Security Management	Service	Conceptual	Provides Security to data access protecting data confidentiality		Automation Service	Cross-cutting				
entity:InfrastructurePlanning-wasDeploymentPlanning--610	610	Infrastructure Planning (was deployment planning)	Infrastructure Planning (was deployment planning)	Service	Conceptual	Building the Smart Grid System to support additional devices (e.g. Water, Gas)		Business Service	Customer				
entity:InitateCustomerCommunication-611	611	initate customer communication	initate customer communication	Service	Conceptual	establish communications between customer and service provider		Automation Service	Service Provider				
entity:InitiateCommunicationWithCustomer-612	612	initiate communication with customer	initiate communication with customer	Service	Conceptual	initiate communication channel with the end customer that allows two-way communication		Business Service	Service Provider				
entity:InstallationAndMaintenanceOfElectricalService-613	613	installation and maintenance of electrical service	installation and maintenance of electrical service	Service	Conceptual	install and maintain quality electrical service to customers within applicable limits		Business Service	Service Provider				
entity:InstallationService-614	614	Installation Service	Installation Service	ServiceComposition	Logical	ServiceComposition of communicating/controlable customer devices, Building Automation Systems (BAS) and components.		Person	Service Provider				
entity:IntelligentAlarmDetector-615	615	Intelligent alarm detector	Intelligent alarm detector	Service	Conceptual	This service manages event alarms within the distribution system		Automation Service	Distribution				
entity:IntelligentAlarmPrioritization-616	616	Intelligent alarm prioritization	Intelligent alarm prioritization	Service	Conceptual	This service prioritizes  alarms within the distribution system for actions or mitigation.  Prioritization will be updated as alarm actions are taken.		Automation Service	Distribution				
entity:IntelligentAlarmProcessing--617	617	Intelligent Alarm Processing:	Intelligent Alarm Processing:	Service	Conceptual	  This service manages all levels of alarms to maintain correct operator action priorities.  The metric for this service is related to correctly handling the variety of alarms that may be faced by operators.		Business Service	Distribution				
entity:IntelligentAlarmRetention-618	618	Intelligent alarm retention	Intelligent alarm retention	Service	Conceptual	This service stores alarms occurring within the distribution system for future reference, audit and investigations.		Automation Service	Distribution				
entity:InterconnectionTradeResponsible-619	619	Interconnection Trade Responsible	Interconnection Trade Responsible	Role	Conceptual	Is a market particpant or depends on one.  r\Recognised by the Nomination Validator for the nomination of already allocated capacity.		Organization	Market				
entity:InterconnectionTradeResponsible-620	620	Interconnection Trade Responsible	Interconnection Trade Responsible	Role		Is a Balance Responsible Party or depends on one. He is recognised by the Nomination Validator for the nomination of already allocated capacity.  Additional information: This is a type of Balance Responsible Party							
entity:InternalMonitoring-621	621	Internal Monitoring	Internal Monitoring	Service	Conceptual	Entity health monitoring		Automation Service	Customer				
entity:InternetServiceProvider-622	622	Internet Service Provider	Internet Service Provider	Role	Conceptual	ISPs provide Internet access to Customer Premise Networks.		Organization	Service Provider				
entity:InterRegionalCommunications-623	623	Inter-regional Communications	Inter-regional Communications	Service	Conceptual	Provides a reliable mechanism to facilitate communications between control centers		Automation Service	Operations				
entity:IslandingSupportService-624	624	islanding support service	islanding support service	Service	Conceptual	Provide a platform for the management of isolation of energy sources from the rest of the grid		Automation Service	Bulk Generation				
entity:ISO-RTOOperation-625	625	ISO/RTO Operation	ISO/RTO Operation	Role	Logical	A role that provides market driven perspective to the energy process. Interacts with operations across domains		Organization	Market	Market			
entity:KeyManagement-626	626	Key Management	Key Management	Service	Conceptual	A service which sets the security parameters associated with key materials		Automation Service	Cross-cutting				
entity:LeastCostDispatch-627	627	Least cost dispatch	Least cost dispatch	Service	Conceptual	Provide a mechanism to allow for the lowest cost units to be called on first for providing energy		Business Service	Bulk Generation				
entity:Lighting-628	628	Lighting	Lighting	Actor	Physical	Customer owned system which provides illumination and which is potentially controllable by  automation or load control systems.		Device	Customer				
entity:LNAP-629	629	LNAP	LNAP	System		The Local Network Access Point is a functional entity that provides access to one or more metering end devices, displays and home automation end devices connected to the local network (LN). It may allow data exchange between different functional entities connected to the same LN.							
entity:Load-630	630	Load	Load	Actor	Physical	Device connected to the distribution system that draws power from the grid.	IE: AC Loads (Sect 6), Loads (Sect 7)	Device	Customer				
entity:LoadAnalysis-631	631	Load Analysis	Load Analysis	Service	Conceptual	A service that analyzes load information		Automation Service	Customer				
entity:LoadDetecting-632	632	Load Detecting	Load Detecting	Service	Conceptual	A service that obtains Load information		Automation Service	Customer				
entity:LoadDevice-633	633	Load Device	Load Device	Actor	Physical	Device connected to the distribution system which consumes electricity.  Load devices can be e.g. appliances, pump controls, HVACs, electric vehicles		Device	Customer				
entity:LoadFlowModeler-634	634	Load flow modeler	Load flow modeler	Service	Conceptual	Provides the calculations necessary to perform load flow analysis.		Automation Service	Transmission				
entity:LoadFlowModeler-635	635	Load flow modeler	Load flow modeler	Service	Conceptual	Provides the calculations necessary to perform load flow analysis.		Automation Service	Distribution				
entity:LoadForecastAnalyzer-636	636	Load forecast analyzer	Load forecast analyzer	Service	Conceptual	Analyzes load forecasts to determine the future distribution model necessary to support the projected load		Automation Service	Distribution				
entity:LoadForecastDetector-637	637	Load forecast detector	Load forecast detector	Service	Conceptual	Provides the inputs necessary to perform a distribution load forecast including weather, economics and scaling algorithms.		Automation Service	Distribution				
entity:LoadForecaster-638	638	Load forecaster	Load forecaster	Service	Conceptual	Provides the short term load forecast for the system.		Automation Service	Transmission				
entity:LoadForecaster-639	639	Load forecaster	Load forecaster	Service	Conceptual	Provides the short term load forecast for the distribution system.		Automation Service	Distribution				
entity:LoadForecasting-640	640	Load Forecasting	Load Forecasting	Service	Conceptual	Provides Energy Bid for a market trading period		Automation Service	Service Provider				
entity:LoadManagementSystem-641	641	Load Management System	Load Management System	Service	Logical	LMS balances load by controlling Customer appliances and equipment (DR, DER, EV and ES charging/discharging).  To do this LMS processes load management program contracts, relevant historic information, profiles, behavioral models,  customer-specific power quality and reliability characteristics.		Application	Operations				
entity:LoadServingEntity-642	642	Load Serving Entity	Load Serving Entity	Role	Logical	A role which carries the responsibility of serving end-users and selling electric energy to end-users.		Organization	Service Provider				
entity:LoadTransfer-643	643	Load transfer	Load transfer	Service	Conceptual	Performs automated load transfer actions of sectional areas across the distribution system.		Automation Service	Distribution				
entity:LocalAuthority-644	644	Local Authority	Local Authority	Role	Conceptual	A party that produces electricity  Additional information:  This is a type of Party Connected to the Grid		Organization	Generation	Enterprise			
entity:LocalEPS-645	645	Local EPS	Local EPS			An EPS contained entirely within a single premises or group of premises							
entity:LocalRegulatoryAuthority-646	646	Local Regulatory Authority	Local Regulatory Authority	Role	Conceptual	A regulatory authority responsible for the oversight and administration of utility service-related functions within its jurisdiction.	N: regulator, state regulator	Organization	Agency	Enterprise			
entity:LocationalDemandHistoryService-647	647	Locational demand history service	Locational demand history service	Service	Conceptual	Provide an information platform that provides access to the demand history for any location on the grid for any time in history		Automation Service	Market				
entity:LongTermDemandForecast-648	648	Long Term Demand forecast	Long Term Demand forecast	Service	Conceptual	Maintain a long term demand forecast for various customer classes within the control area		Business Service	Market				
entity:LongTermForecastingSupportService-649	649	Long term forecasting support service	Long term forecasting support service	Service	Conceptual	Provide support services for long term scenario based forecasting		Automation Service	Transmission				
entity:LongTermForecastingSupportService-650	650	Long term forecasting support service	Long term forecasting support service	Service	Conceptual	Provide support services for long term scenario based forecasting		Automation Service	Market				
entity:LongTermForecastingSupportService-651	651	Long term forecasting support service	Long term forecasting support service	Service	Conceptual	Provide support services for long term scenario based forecasting		Automation Service	Bulk Generation				
entity:LossLocationManagement--652	652	Loss location management:	Loss location management:	Service	Conceptual	This service manages the location of non-technical energy losses on the distribution system.		Business Service	Distribution				
entity:MagneticEnergyStorageSystems-653	653	Magnetic Energy Storage Systems	Magnetic Energy Storage Systems	Actor	Physical	storage of energy in a superconducting coil	IEEE: Superconducting Magnetic Energy Storage Systems	Device	Cross Cutting	Process			
entity:MaintainContingencyPlans-654	654	maintain contingency plans	maintain contingency plans	Service	Conceptual	develop plans, including fail over, that allow the system to continue to operate when problems arise		Business Service	Transmission				
entity:MaintainEquipmentCharacteristics-655	655	maintain equipment characteristics	maintain equipment characteristics	Service	Conceptual	maintain all characteristics of electrical components installed in the system		Business Service	Transmission				
entity:MaintainEquipmentCharacteristics-656	656	maintain equipment characteristics	maintain equipment characteristics	Service	Conceptual	maintain all characteristics of electrical components installed in the system		Business Service	Transmission				
entity:MaintainFacilities-657	657	maintain facilities	maintain facilities	Service	Conceptual	Provide maintence sufficient to maintain generation units in operational condition		Business Service	Bulk Generation				
entity:MaintainHistory-658	658	maintain history	maintain history	Service	Conceptual	Maintain a history of market transactions		Business Service	Market				
entity:MaintainMarketHistory-659	659	Maintain Market History	Maintain Market History	Service	Conceptual	Provide management of historical market information		Business Service	Market				
entity:MaintainNetworkModel-660	660	Maintain network model	Maintain network model	Service	Conceptual	Maintain a time based model that represents the topology of the electrical power network		Business Service	Operations				
entity:MaintainPhysicalSecurity-661	661	maintain physical security	maintain physical security	Service	Conceptual	manage the physical facilities of the system to maintain control of physical access to the system		Business Service	Transmission				
entity:MaintainStability-662	662	maintain stability	maintain stability	Service	Conceptual	manage energy flow in the grid to ensure stable grid operation		Business Service	Transmission				
entity:MaintainStateInformation-663	663	maintain state information	maintain state information	Service	Conceptual	using the information gathered in monitor equipment determine the remaining capacity of the system to handle more energy		Business Service	Transmission				
entity:MaintainSystem-664	664	maintain system	maintain system	Service	Conceptual	manage the maintenance of the system equipment to maintain operational capability		Business Service	Transmission				
entity:MaintainSystemIntegrity-665	665	maintain system Integrity	maintain system Integrity	Service	Conceptual	provide the controls that will facilitate several scenarios for keeping the energy flowing through the system when issues occur		Business Service	Bulk Generation				
entity:MaintainTopology-666	666	maintain topology	maintain topology	Service	Conceptual	manage the mapping of the logical connectivity possible in the overall system		Business Service	Transmission				
entity:MaintainVoltage-667	667	maintain voltage	maintain voltage	Service	Conceptual	manage embedded equipment in the grid to adjust voltage to stay within compliance limits		Business Service	Transmission				
entity:MaintenanceAndConstruction-668	668	Maintenance and Construction	Maintenance and Construction	Service	Logical	Maintenance and Construction actors coordinate equipment inspection, cleaning and adjustment , organize construction and design, dispatch and schedule maintenance and construction work, capture records gathered by field personnel and permit them to view necessary information to perform their tasks.	EU-WGSP: Maintenance and Inspection	Application	Operations				
entity:MaintenanceAndConstruction-MC--669	669	Maintenance and Construction (MC)	Maintenance and Construction (MC)	System		Maintenance and Construction actors coordinate equipment inspection, cleaning and adjustment , organize construction and design, dispatch and schedule maintenance and construction work, capture records gathered by field personnel and permit them to view necessary information to perform their tasks.							
entity:MaintenanceAndInspection-MCMAI--670	670	Maintenance and inspection (MC-MAI)	Maintenance and inspection (MC-MAI)	Role		Work involving inspection, cleaning, adjustment, or other service of equipment to enable it to perform better or to extend its service life. Examples of maintenance work are routine oil changes and painting.Examples of inspection work are pole inspections, vault inspections, and substation inspections.							
entity:MaintenanceForecast-671	671	Maintenance forecast	Maintenance forecast	Service	Conceptual	Provides an estimate of the distribution field equipment maintenance requirements based on operational equipment characteristics.		Automation Service	Distribution				
entity:MaintenanceManagement-672	672	maintenance management	maintenance management	Service	Conceptual	provides support for assigning maintenance personnel to tasks		Automation Service	Transmission				
entity:MaintenancePlanningSupportService-673	673	maintenance planning support service	maintenance planning support service	Service	Conceptual	Provide a platform to coordinate maintenance planning on energy sources attached to the grid		Automation Service	Bulk Generation				
entity:MaintenancePrioritization-674	674	Maintenance Prioritization	Maintenance Prioritization	Service	Conceptual	Prioritizes maintenance and improvements impacting electric service quality		Automation Service	Service Provider				
entity:MaintenancePrioritizationCollector-675	675	Maintenance Prioritization Collector	Maintenance Prioritization Collector	Service	Conceptual	Aggregates reliability and power quality status		Automation Service	Service Provider				
entity:MaintenancePrioritizationNotification-676	676	Maintenance Prioritization Notification	Maintenance Prioritization Notification	Service	Conceptual	Provides the prioritization of maintenance and improvements impacting electric service quality.		Automation Service	Service Provider				
entity:MaintenanceSupportService-677	677	maintenance support service	maintenance support service	Service	Conceptual	Provide a platform to execute maintenance to maintain units in operational condition		Automation Service	Transmission				
entity:MaintenanceSupportService-678	678	maintenance support service	maintenance support service	Service	Conceptual	Provide a platform to execute maintenance to maintain units in operational condition		Automation Service	Bulk Generation				
entity:ManageAdverseConditions-679	679	manage adverse conditions	manage adverse conditions	Service	Conceptual	provide analytics to determine adverse impacts that can be managed before they become operational problems		Business Service	Bulk Generation				
entity:ManageAggregators-680	680	manage aggregators	manage aggregators	Service	Conceptual	Determine mechanism for aggregators of energy resources to engagge in markets		Business Service	Market				
entity:ManageAncillaryServices-681	681	manage ancillary services	manage ancillary services	Service	Conceptual	provide a set of reserve resources that can be used to maintain the grid within compliance limits		Business Service	Bulk Generation				
entity:ManageAvailabilityOfCommunication-682	682	manage availability of communication	manage availability of communication	Service	Conceptual	ensure communication of system parameters available to the customer within applicable limits		Business Service	Service Provider				
entity:ManageAvailabilityOfCommunication-683	683	manage availability of communication	manage availability of communication	Service	Conceptual	ensure communication of information to the customer		Business Service	Cross-cutting				
entity:ManageBlackouts-684	684	manage blackouts	manage blackouts	Service	Conceptual	operate a mechanism to manage rolling blackouts as part of an overall balancing scheme		Business Service	Transmission				
entity:ManageColdStart-685	685	manage cold start	manage cold start	Service	Conceptual	bring an out of service unit on line as an independent source		Business Service	Bulk Generation				
entity:ManageCommunication-686	686	manage communication	manage communication	Service	Conceptual	maintain communication of system parameters as they relate to customer decision making		Business Service	Service Provider				
