entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:AssetInvestmentPlanning-48	48	Asset Investment Planning	Asset Investment Planning	Role	Conceptual	Asset investment planning involves strategy definition and prioritisation, maintenance strategy planning, risk management, programme management and decision-making. It drives the condition, configuration, performance, operating costs, and flexibility of the asset base, with the aim of maximising value.		Application	Operations			grid operator	function/ service
entity:AssetManagementSystem-49	49	Asset Management System	Asset Management System	Application		Application which optimizes the utilization of assets regarding loading, maintenance and lifetime							
entity:AssetSecurityManagement-50	50	asset security management	asset security management	Service	Conceptual	Provides management of physical asset envelope based on the ranking of the asset		Automation Service	Transmission				
entity:AssetSecurityMonitoring-51	51	asset security monitoring	asset security monitoring	Service	Conceptual	Monitors for breaches in the physical environment of the grid		Automation Service	Transmission				
entity:AssociationManagement-52	52	Association Management	Association Management	Service	Conceptual	A service threat controls the hierarchy of associations		Automation Service	Cross-cutting				
entity:AttestationService-53	53	Attestation Service	Attestation Service	Service	Conceptual	A service that provides assurance claims		Automation Service	Cross-cutting				
entity:AuditDataCollector-54	54	Audit data collector	Audit data collector	Service	Conceptual	This service provides the retreival, retention and presentment of historical system audit data for audit reporting.   Data is time stamped, archived and deleted per audit criteria.		Automation Service	Distribution				
entity:AuditManagement-55	55	Audit Management	Audit Management	Service	Conceptual	A service that controls all operational aspects of Auditing		Automation Service	Cross-cutting				
entity:AuditTrailManagement--56	56	Audit trail management:	Audit trail management:	Service	Conceptual	  This service provides the retrieval and reports necessary to provide an audit trail for system event reporting.		Business Service	Distribution				
entity:Auditing-57	57	Auditing	Auditing	Service	Conceptual	A service that tracks the configuration of entitiies		Automation Service	Customer				
entity:AuthenticateUser-58	58	Authenticate user	Authenticate user	Service	Conceptual	Confirm the identity of the user		Business Service	Operations				
entity:Authentication-59	59	Authentication	Authentication	Service	Conceptual	A service that validates the authenticity of an entity, thus determines whether an entity is allowed to perform a particular activity		Automation Service	Cross-cutting; Operations				
entity:AuthenticationManagement-60	60	Authentication Management	Authentication Management	Service	Conceptual	This service manages authentication processes		Business Service	Cross-cutting				
entity:Authorization-61	61	Authorization	Authorization	Service	Conceptual	A service that determines whether an entity is allow to perform a particular activity		Automation Service	Cross-cutting				
entity:AutomatedRestart-62	62	Automated Restart	Automated Restart	Service	Conceptual	Provide a mechanism to automatically restart key facilities based on remote commands		Automation Service	Operations				
entity:AutomatedServiceRestoration-63	63	Automated Service Restoration	Automated Service Restoration	Service	Conceptual	This service manages automated service restoration functions.  Measurement of this service would follow accepted indicies on system restoration performance.		Business Service	Distribution				
entity:AvailabilityService-64	64	Availability Service	Availability Service	Service	Conceptual	A service which maintains entity availability		Automation Service	Cross-cutting				
entity:BackOfficeSystems-65	65	Back Office Systems	Back Office Systems	Actor	Logical - 1st	Applications which support the admistrative support for the utility or Service Provider.  These applcations usually include customer billing, general ledger & accounting	NR: Metering/Billing /Utility Back Office	Application	Operations		system actor	multiple	
entity:BackgroundInvestigationService-66	66	background investigation service	background investigation service	Service	Conceptual	provides a compilation of information from various sources on the background of the entity		Automation Service	Market				
entity:BackhaulWAN-67	67	Backhaul WAN	Backhaul WAN	Actor	Logical - 1st	Backhaul Wide-Area Networks (WAN) provides the telcommuncations facilities from edge devices to the Grid Operations Core Network (LAN) eitherdirectly or via a WAN. These edge devices include Substation, Field Automation Networks(FAN), Supervisory Control And Data Acquisition (SCADA) devices, dvanced Meter Infrastructure (AMI) networks, Distributed Generation Resources, etc. A backhaul WAN may be owned by a utility and/or managed by a telecom/cable Service Provider. It may be wireless, wireline, cable or fibre.		Facility	Operations			multiple	function/ service
entity:BalancePhases-68	68	balance phases	balance phases	Service	Conceptual	maintain the energy balance from one phase to another phase		Business Service	Transmission				
entity:BalanceResponsibleParty-69	69	Balance Responsible Party	Balance Responsible Party	Role		A party that has a contract proving financial security and identifying balance responsibility with the imbalance settlement responsible of the market balance area entitling the party to operate in the market. This is the only role allowing a party to buy or sell energy on a wholesale level.  Additional information: The meaning of the word "balance" in this context signifies that the quantity contracted to provide or to consume must be equal to the quantity really provided or consumed. Such a party is often owned by a number of market players. Equivalent to "Program responsible party" in the Netherlands.Equivalent to "Balance responsible group" in Germany. Equivalent to "market agent" in Spain.							
entity:BalanceSupplier-70	70	Balance Supplier	Balance Supplier	Role	Conceptual	A party that markets the difference between actual metered energy consumption and the energy bought with firm energy contracts by the party connected to the grid. In addition the balance supplier markets any difference with the firm energy contract (of the party connected to the grid) and the metered production. Additional information: There is only one balance supplier for each metering point.		Organization	Market		role	balance supplier	
entity:BalanceSystem-71	71	balance system	balance system	Service	Conceptual	provide a mechanism to respond to changes in the supply-load equation that will maintain the system within compliance limits		Business Service	Bulk Generation				
entity:BalancingAuthority-72	72	Balancing Authority	Balancing Authority	Service	Conceptual	Ensures  the supply of electricity corresponds to the anticipated consumption of electricity during a given time period and financially regulates any imbalance that arises. THIS NEEDS UPDATE (USE NERC DEFN)	Balance Responsible Party	Organization	Market	Enterprise	role	balance responsible party	
entity:BalancingAuthority-market--73	73	Balancing Authority (market)	Balancing Authority (market)										
entity:BatteryEnergyStorage-74	74	Battery energy storage	Battery energy storage										
entity:BatteryServiceOperator-75	75	Battery Service Operator	Battery Service Operator	Role		A party that operates the service for the battery of an electric vehicle that may include the battery rental. The  Battery Service Operator will manage the compromise of usage of the battery between an usage for mobility  and an usage for electricity or grid management services. A Battery Service Operator could subscribe to different services like electricity charging services to an Area Energy Service Operator or Energy (e-Mobility) Service Operator. The links with these Energy Operators have not been shown on the diagram only for readability reason. Additional information: a Battery Service Operator could be considered as an Aggregator for the usage of the battery							
entity:BilateralClearingSupportService-76	76	bilateral clearing support service	bilateral clearing support service	Service	Conceptual	Provides financial clearing of bilateral trades between market participants		Automation Service	Market				
entity:BillManagement-77	77	Bill Management	Bill Management	ServiceComposition	Logical	This ServiceComposition provides a full range of invoicing services. Request bill, respond with bill, pay bill, manage billing parameters, usually allows customer access via Customer Portal.	Billing	Automation Service	Service Provider	Enterprise			function/ service
entity:BillingAgent-78	78	Billing Agent	Billing Agent	Role		The party responsible for invoicing a concerned party.  Note: This role has been introduced into the role model in order to underline the fact that the Imbalance settlement responsible has not the responsibility to invoice. However this role is not specific to the settlement process and may be used in other processes as required							
entity:BillingApplication-79	79	Billing Application	Billing Application	Actor	Logical - 2nd	Abstraction of an automated billing application	NISTIR7628: Metering/Billing/Back Office	Application					
entity:BillingServices-80	80	Billing Services	Billing Services	Service	Conceptual	provide accurate billing data to customers in a timely manner		Business Service	Service Provider				
entity:BiomassFacility-81	81	Biomass Facility	Biomass Facility	Actor	Logical - 2nd	Power plant that produces electricity by using biomass. Biomass includes usually refers to using methane gas produced by landfills, farm lots as fuel for the power generation facility.		Device	Generation				
entity:BiomassPlant-82	82	Biomass plant	Biomass plant										
